citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_sec_1005_2,stb_surface,title49.stb.surface_transportation_reference,1,Filing of claims.,49 CFR 1005.2,Mapping level candidate for 49 CFR 1005.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.2. Source: https://www.ecfr.gov/current/title-49/section-1005.2,true,
t49_sec_1005_3,stb_surface,title49.stb.surface_transportation_reference,1,Acknowledgment of claims.,49 CFR 1005.3,Mapping level candidate for 49 CFR 1005.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.3. Source: https://www.ecfr.gov/current/title-49/section-1005.3,true,
t49_sec_1005_4,stb_surface,title49.stb.surface_transportation_reference,1,Investigation of claims.,49 CFR 1005.4,Mapping level candidate for 49 CFR 1005.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.4. Source: https://www.ecfr.gov/current/title-49/section-1005.4,true,
t49_sec_1005_5,stb_surface,title49.stb.surface_transportation_reference,1,Disposition of claims.,49 CFR 1005.5,Mapping level candidate for 49 CFR 1005.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.5. Source: https://www.ecfr.gov/current/title-49/section-1005.5,true,
t49_sec_1005_6,stb_surface,title49.stb.surface_transportation_reference,1,Processing of salvage.,49 CFR 1005.6,Mapping level candidate for 49 CFR 1005.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.6. Source: https://www.ecfr.gov/current/title-49/section-1005.6,true,
t49_sec_1005_7,stb_surface,title49.stb.surface_transportation_reference,1,Weight as a measure of loss.,49 CFR 1005.7,Mapping level candidate for 49 CFR 1005.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1005 > 49 CFR 1005.7. Source: https://www.ecfr.gov/current/title-49/section-1005.7,true,
t49_part_1007,stb_surface,title49.stb.surface_transportation_reference,1,Records Containing Information About Individuals,49 CFR Part 1007,Mapping level candidate for 49 CFR Part 1007. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007. Source: https://www.ecfr.gov/current/title-49/part-1007,true,
t49_sec_1007_1,stb_surface,title49.stb.surface_transportation_reference,1,Purpose and scope.,49 CFR 1007.1,Mapping level candidate for 49 CFR 1007.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.1. Source: https://www.ecfr.gov/current/title-49/section-1007.1,true,
t49_sec_1007_2,stb_surface,title49.stb.surface_transportation_reference,1,Definitions.,49 CFR 1007.2,Mapping level candidate for 49 CFR 1007.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.2. Source: https://www.ecfr.gov/current/title-49/section-1007.2,true,
t49_sec_1007_3,stb_surface,title49.stb.surface_transportation_reference,1,Requests by an individual for information or access.,49 CFR 1007.3,Mapping level candidate for 49 CFR 1007.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.3. Source: https://www.ecfr.gov/current/title-49/section-1007.3,true,
t49_sec_1007_4,stb_surface,title49.stb.surface_transportation_reference,1,Procedures for identifying the individual making the request.,49 CFR 1007.4,Mapping level candidate for 49 CFR 1007.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.4. Source: https://www.ecfr.gov/current/title-49/section-1007.4,true,
t49_sec_1007_5,stb_surface,title49.stb.surface_transportation_reference,1,Disclosure of requested information to individuals; fees for copies of records.,49 CFR 1007.5,Mapping level candidate for 49 CFR 1007.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.5. Source: https://www.ecfr.gov/current/title-49/section-1007.5,true,
t49_sec_1007_6,stb_surface,title49.stb.surface_transportation_reference,1,Disclosure to third parties.,49 CFR 1007.6,Mapping level candidate for 49 CFR 1007.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.6. Source: https://www.ecfr.gov/current/title-49/section-1007.6,true,
t49_sec_1007_7,stb_surface,title49.stb.surface_transportation_reference,1,Content of systems of records.,49 CFR 1007.7,Mapping level candidate for 49 CFR 1007.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.7. Source: https://www.ecfr.gov/current/title-49/section-1007.7,true,
t49_sec_1007_8,stb_surface,title49.stb.surface_transportation_reference,1,Amendment of a record.,49 CFR 1007.8,Mapping level candidate for 49 CFR 1007.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.8. Source: https://www.ecfr.gov/current/title-49/section-1007.8,true,
t49_sec_1007_9,stb_surface,title49.stb.surface_transportation_reference,1,Appeals to the Chairman.,49 CFR 1007.9,Mapping level candidate for 49 CFR 1007.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.9. Source: https://www.ecfr.gov/current/title-49/section-1007.9,true,
t49_sec_1007_10,stb_surface,title49.stb.surface_transportation_reference,1,Information supplied by the Board when collecting information from an individual.,49 CFR 1007.10,Mapping level candidate for 49 CFR 1007.10. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1007 > 49 CFR 1007.10. Source: https://www.ecfr.gov/current/title-49/section-1007.10,true,
