citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_sec_209_3,fra_rail,title49.rail.safety_reference,1,Definitions.,49 CFR 209.3,Mapping level candidate for 49 CFR 209.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.3. Source: https://www.ecfr.gov/current/title-49/section-209.3,true,
t49_sec_209_5,fra_rail,title49.rail.safety_reference,1,Service.,49 CFR 209.5,Mapping level candidate for 49 CFR 209.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.5. Source: https://www.ecfr.gov/current/title-49/section-209.5,true,
t49_sec_209_6,fra_rail,title49.rail.safety_reference,1,Requests for admission.,49 CFR 209.6,Mapping level candidate for 49 CFR 209.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.6. Source: https://www.ecfr.gov/current/title-49/section-209.6,true,
t49_sec_209_7,fra_rail,title49.rail.safety_reference,1,Subpoenas; witness fees.,49 CFR 209.7,Mapping level candidate for 49 CFR 209.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.7. Source: https://www.ecfr.gov/current/title-49/section-209.7,true,
t49_sec_209_8,fra_rail,title49.rail.safety_reference,1,Depositions in formal proceedings.,49 CFR 209.8,Mapping level candidate for 49 CFR 209.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.8. Source: https://www.ecfr.gov/current/title-49/section-209.8,true,
t49_sec_209_9,fra_rail,title49.rail.safety_reference,1,Filing.,49 CFR 209.9,Mapping level candidate for 49 CFR 209.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.9. Source: https://www.ecfr.gov/current/title-49/section-209.9,true,
t49_sec_209_11,fra_rail,title49.rail.safety_reference,1,Request for confidential treatment.,49 CFR 209.11,Mapping level candidate for 49 CFR 209.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.11. Source: https://www.ecfr.gov/current/title-49/section-209.11,true,
t49_sec_209_13,fra_rail,title49.rail.safety_reference,1,Consolidation.,49 CFR 209.13,Mapping level candidate for 49 CFR 209.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.13. Source: https://www.ecfr.gov/current/title-49/section-209.13,true,
t49_sec_209_15,fra_rail,title49.rail.safety_reference,1,Rules of evidence.,49 CFR 209.15,Mapping level candidate for 49 CFR 209.15. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.15. Source: https://www.ecfr.gov/current/title-49/section-209.15,true,
t49_sec_209_17,fra_rail,title49.rail.safety_reference,1,Motions.,49 CFR 209.17,Mapping level candidate for 49 CFR 209.17. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart A > 49 CFR 209.17. Source: https://www.ecfr.gov/current/title-49/section-209.17,true,
t49_subpart_209_b,fra_rail,title49.rail.safety_reference,1,Hazardous Materials Penalties,49 CFR Part 209 Subpart B,Mapping level candidate for 49 CFR Part 209 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 209 > 49 CFR Part 209 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-209/subpart-B,true,
